ID,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,CALLE,ALTURA,CRUCE,DIRECCIÓN NORMALIZADA,COMUNA,POS X,POS Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD,PARTICIPANTE A,PARTICIPANTE B,RANGO_ETARIO,ENCRUCIJADA
2016-0037,1,2016-03-19,11:00:00,avenida,lafuente av.,sin datos,quirno,lafuente av. y quirno,7,-58.46275892,-34.64358293,moto,moto,conductor,masculino,20.0,moto,moto,18-29,True
2016-0038,1,2016-03-21,08:06:00,gral paz,"paz, gral. av.",sin datos,zuviria,"paz, gral. av. y zuviria",8,-58.49683458,-34.67892743,peaton,pasajeros,peaton,masculino,29.0,peaton,pasajeros,18-29,True
2016-0039,1,2016-03-23,01:50:00,avenida,"mitre, bartolome",sin datos,pueyrredon av.,"mitre, bartolome y pueyrredon av.",3,-58.40603217,-34.60883960,moto,pasajeros,conductor,masculino,20.0,moto,pasajeros,18-29,True
2016-0041,2,2016-03-29,11:00:00,avenida,directorio av.,sin datos,rivera indarte av.,directorio av. y rivera indarte av.,7,-58.46076550,-34.63350444,moto,cargas,conductor,masculino,54.0,moto,cargas,45-64,True
2016-0041,2,2016-03-29,11:00:00,avenida,directorio av.,sin datos,rivera indarte av.,directorio av. y rivera indarte av.,7,-58.46076550,-34.63350444,moto,cargas,pasajero_acompañante,masculino,sin datos,moto,cargas,sin datos,True
2016-0043,1,2016-03-30,18:15:00,avenida,"dellepiane, luis, tte. gral.",sin datos,murguiondo,"dellepiane, luis, tte. gral. y murguiondo",8,-58.47832463,-34.67494416,peaton,cargas,peaton,femenino,56.0,peaton,cargas,45-64,True
2016-0044,1,2016-03-31,19:40:00,avenida,"moreno, jose maria av.",sin datos,balbastro,"moreno, jose maria av. y balbastro",7,-58.43213235,-34.63693953,moto,multiple,conductor,masculino,24.0,multiple,sin datos,18-29,True
2016-0045,1,2016-04-11,10:25:00,gral paz,"paz, gral. av.",sin datos,del libertador av.,"paz, gral. av. y del libertador av.",13,-58.46743471,-34.53476874,moto,sin datos,conductor,masculino,sin datos,moto,sin datos,sin datos,True
2016-0047,1,2016-04-15,05:30:00,calle,lima,1483.0,sin datos,lima 1483,1,-58.38247061,-34.62571878,peaton,pasajeros,peaton,masculino,41.0,peaton,pasajeros,30-44,False
2016-0048,1,2016-04-15,17:40:00,avenida,corrientes av.,sin datos,dorrego av.,corrientes av. y dorrego av.,15,-58.44759966,-34.59170240,peaton,pasajeros,peaton,femenino,sin datos,peaton,pasajeros,sin datos,True
2016-0049,1,2016-04-17,00:00:00,autopista,autopista 1 sur presidente arturo frondizi,sin datos,sin datos,autopista 1 sur presidente arturo frondizi,4,-58.37714647568196,-34.63657525428238,sin datos,sin datos,sin datos,sin datos,sin datos,sin datos,sin datos,sin datos,False
2016-0050,1,2016-04-19,09:50:00,avenida,"gordillo, timoteo",sin datos,"fernandez de la cruz, f., gral. av.","gordillo, timoteo y fernandez de la cruz, f., gral. av.",8,-58.47305463,-34.68550712,peaton,pasajeros,peaton,masculino,78.0,peaton,pasajeros,65+,True
2016-0051,1,2016-04-20,04:00:00,avenida,"alcorta, amancio av.",sin datos,"bonavena, oscar natalio","alcorta, amancio av. y bonavena, oscar natalio",4,-58.40623949,-34.65076549,moto,cargas,conductor,masculino,36.0,moto,cargas,30-44,True
2016-0052,1,2016-04-20,20:00:00,autopista,"lugones, leopoldo av.",sin datos,sin datos,sin datos,13,sin datos,sin datos,moto,sin datos,sin datos,sin datos,sin datos,moto,sin datos,sin datos,False
2016-0053,1,2016-04-22,09:30:00,avenida,triunvirato av.,sin datos,olazabal av.,triunvirato av. y olazabal av.,12,-58.48429180,-34.57558053,peaton,pasajeros,peaton,masculino,38.0,peaton,pasajeros,30-44,True
2016-0054,1,2016-04-23,21:00:00,autopista,autopista dellepiane luis tte. gral.,sin datos,"paz, gral. av.","autopista dellepiane luis tte. gral. y paz, gral. av.",8,-58.48695354,-34.68795245,moto,moto,conductor,masculino,30.0,moto,moto,30-44,True
2016-0055,1,2016-04-25,20:30:00,avenida,"castilla, ramon, mariscal",sin datos,"figueroa alcorta, pres. av.","castilla, ramon, mariscal y figueroa alcorta, pres. av.",14,-58.40021959,-34.57964781,peaton,cargas,peaton,masculino,79.0,peaton,cargas,65+,True
